shortcode,images,company,post_id,date,post_description,accessibility_caption,count_likes,count_comments,location,comments_disabled,is_ad,is_video
CMhBzBMAaJY,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/161029920_116419970402970_6410477516387961224_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=uph1WJ0ocCkAX8pj_4N&tn=EPLOOm8s1aBmyfj8&edm=AABBvjUBAAAA&ccb=7-4&oh=51a4e30615a749faefe69787e2b3debb&oe=614BF312&_nc_sid=83d603'}],nestle,2531312369573929560,344,"2020 highlighted the strength of the human-pet bond! 🐈🐕👪⠀
⠀
It inspired us to continue delivering life-changing nutrition to pets and world-class pet care expertise to pet owners and veterinarians every day.⠀
 ⠀
Want to know more? Visit the link in our bio to explore our 2020 Annual Report ⬆️⠀
⠀
#Nestlé2020 #Innovation #PetCare #Pets",,344,82,,False,False,True
CMSLVR1AiB0,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/159094131_427840558498847_1379236214598163993_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ADwVx_41fjEAX_wOuDb&tn=EPLOOm8s1aBmyfj8&edm=AABBvjUBAAAA&ccb=7-4&oh=c062c29651ce587f40c40d191e87c3e8&oe=615162B0&_nc_sid=83d603'}],nestle,2527132181671846004,936,"In Pakistan, we’re helping over 1,500 women carve a path to financial freedom. Our BISP Rural Women Sales Program is providing women with the independence of earning their own incomes, uplifting them and putting them on the road to prosperity. ⠀
 ⠀
Visit the link in our bio for the full story ⬆️⠀
⠀
#InternationalWomensDay #IWD2021 #ChooseToChallenge #Nestlé",,936,2499,,False,False,False
CTwRr8lMW4g,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/242034661_373435837605496_8662885591748004363_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=GgbSEKV_Rv8AX--EW9e&edm=AABBvjUBAAAA&ccb=7-4&oh=c3841ab6211874262a07016f1c28db5c&oe=61512977&_nc_sid=83d603'}],nestle,2661705166552657440,398,"Do you know the 5 innovations our experts have created as sustainable, effective, and personalized ways to care for your pet? No? Visit the link in our bio to find out from a Purina pro ⬆️ 

#Pets #Sustainability #PetFriendly #Nestlé #Innovation",,398,2,,False,False,False
COx11GkLDUB,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/184289841_443009087050776_1244120954083882845_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=FGBDlSYBPNAAX8O3N--&edm=AABBvjUBAAAA&ccb=7-4&oh=0cfd7d3dd2c482b5c585594e0d6d1579&oe=614C51E5&_nc_sid=83d603'}],nestle,2572073607851947265,348,"Instilling healthy eating habits in children is what every parent wants – but ensuring children appreciate the importance of nutrition can prove tricky. 🍳👩🏾‍🍳

Visit the link in our bio to check out our tips and tricks to keep kids involved in the kitchen ⬆️

#HealthierKids #Nestlé #GoodLife",,348,96,,False,False,True
CTev92-jXIT,"[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/241513725_493126165468982_9152154250058818442_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=IKklXVoOcAkAX9EBd-X&edm=AABBvjUBAAAA&ccb=7-4&oh=ca8e244cec5d581a4af1c3b2daae57c4&oe=6150803A&_nc_sid=83d603'}, {'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/241314223_562075821598707_1662324433963498409_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=GISmwZj7qY8AX828Jzg&edm=AABBvjUBAAAA&ccb=7-4&oh=2ce5e6842d50ca0e89275126be16af1a&oe=6150DE56&_nc_sid=83d603'}, {'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/241197197_138377861758015_8519394061694203749_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=Na1tPVXZc3cAX-epeIc&edm=AABBvjUBAAAA&ccb=7-4&oh=2cc35c5e263876b0396623e1d1671577&oe=6150F3A6&_nc_sid=83d603'}, {'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/241426269_369815758024683_5333301960471168323_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=kAQIVHdH-AwAX8LsJpR&edm=AABBvjUBAAAA&ccb=7-4&oh=7d116210fae18b02d0a442f949dd9f0b&oe=6150B7B2&_nc_sid=83d603'}]",nestle,2656771789300789779,968,"Falafels. Shawarma. Tahini. Kofta. Pomegranate sauce. Toum. Muhammara. Harissa. Need we say more? Our new brand Mezeast has been designed to bring together the best tastes and flavors of the Middle East. ❤️ 😋 

Visit the link in our bio to learn more about the recent launch of Mezeast in the UK ⬆️ 

#Nestlé #Innovation #Mezeast #Flexitarian",,968,5,,False,False,False
CMPGOe2giA9,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/158832039_5199941940048135_752528909088853092_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=1ye_TOxmOHQAX_AyUFb&edm=AABBvjUBAAAA&ccb=7-4&oh=1300d79f0741cfcc4ac9a7e76999cfe0&oe=61512423&_nc_sid=83d603'}],nestle,2526265299456630845,794,"Meet Joëlle Abega-Oyouomi, our first female factory manager in Central and Western Africa. Discover her journey and why choosing to challenge has been something that she has done instinctively throughout her career. ⠀
 ⠀
Visit the link in our bio for the full story ⬆️⠀
⠀
#InternationalWomensDay #IWD2021 #ChooseToChallenge #Nestlé",,794,349,,False,False,False
CPc5ERItv9r,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/192858585_310984047164607_5588562509075767243_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=GX4fLue1cc0AX_kxp2u&edm=AABBvjUBAAAA&ccb=7-4&oh=aef8426a3bcc5435cc6936af8bfdb794&oe=614C2390&_nc_sid=83d603'}],nestle,2584191268132683627,354,"With over 270,000 employees representing 177 different nationalities - we're not short of food stories. 

Today we bring you Adja, from Liberia, who is sharing her recipe for dry rice and fried fish. 🇱🇷👩🏾‍🍳 

For Adja’s full recipe and method, visit our story highlights ⬆️ 

#WeAreNestle #Recipes #PowerOfFood",,354,31,,False,False,True
CQglE0Gg-VW,"[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/207783086_850806439192226_4344801257022264114_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=iUtvq5VKc3wAX_W6R8D&edm=AABBvjUBAAAA&ccb=7-4&oh=fde007ec141500a26b770819549c2ca8&oe=615184E8&_nc_sid=83d603'}, {'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/206327633_4551663971539167_5111585513730889035_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=_IkIOCf2s5MAX9j9z0_&edm=AABBvjUBAAAA&ccb=7-4&oh=676137c322319ae48536518386124f9e&oe=61508C78&_nc_sid=83d603'}, {'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/207352952_825149691470691_3408310304311651441_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=_Bcf2rLi5YAAX8I5RsK&edm=AABBvjUBAAAA&ccb=7-4&oh=3f6230c933908fdf3e62042ab1b1fc83&oe=615121C6&_nc_sid=83d603'}]",nestle,2603243643162846550,968,"Wunda-ful news for plant-based enthusiasts! 🦸 🌱 

Our new pea-based milk alternative is available in the UK and Ireland starting next week. Made from yellow split peas, @mywunda has a neutral, refreshing taste that makes it a great alternative and versatile choice for people who want a plant-based drink that tastes closer to dairy. And a bonus: it's carbon neutral! 🌍 

Want to know more? Visit the link in our bio to discover the story behind Wunda ⬆️ 

#PlantBased #Innovation #Nestlé",,968,112,,False,False,False
CTjTTgvNFo_,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/241276441_398000168337611_5886545854258807296_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=zT9-hhywjzQAX_FBcV1&edm=AABBvjUBAAAA&ccb=7-4&oh=58e5b6ce8d31bef0c566fb01a4bb57e8&oe=61506BA9&_nc_sid=83d603'}],nestle,2658053108784192063,555,"The plant-based revolution continues! 🌱 

In the U.S., our @freshly brand recently launched its first-ever line of plant-based meals.

Visit the link in our bio and discover how we're embracing plant-based ⬆️

#PlantBased #Innovation #Nestlé #Freshly",,555,15,,False,False,False
CMmAxZZAdH2,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/162126343_467574387769163_4479586749925863424_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=oB_Wo5wDpH0AX_qbvYa&edm=AABBvjUBAAAA&ccb=7-4&oh=ec54b405cac9898960066602d806be0d&oe=614C875B&_nc_sid=83d603'}],nestle,2532715234959938038,574,"Did you spend more time in the kitchen in 2020? 🍞🍪🧁⠀
⠀
Thanks to a resurgence in baking, many of our brands coupled their products with digital platforms to offer recipes, tips and fun activities for the entire family.⠀
 ⠀
Want to know more? Visit the link in our bio to explore our 2020 Annual Report ⬆️⠀
 ⠀
#Nestlé2020 #Innovation #Baking #Cooking #Kitchen",,574,48,,False,False,True
